scenario,seed,event,count
ALL_BASELINE,1,referral_received,453
ALL_BASELINE,1,mri_performed,421
ALL_BASELINE,1,mri_report_ready,409
ALL_BASELINE,1,MDT_occured,398
ALL_BASELINE,1,biopsy_done,205
ALL_BASELINE,1,Path_report_recieved,193
ALL_BASELINE,1,Path_report_outcome,193
ALL_BASELINE,1,Treatment_options_MDT_occured,159
ALL_BASELINE,1,Outpatient_appointment_occured,154
OBS_MIX,1,referral_received,453
OBS_MIX,1,mri_performed,421
OBS_MIX,1,mri_report_ready,417
OBS_MIX,1,MDT_occured,411
OBS_MIX,1,biopsy_done,214
OBS_MIX,1,Path_report_recieved,203
OBS_MIX,1,Path_report_outcome,203
OBS_MIX,1,Treatment_options_MDT_occured,164
OBS_MIX,1,Outpatient_appointment_occured,158
ALL_PROSTAD,1,referral_received,453
ALL_PROSTAD,1,mri_performed,208
ALL_PROSTAD,1,mri_report_ready,208
ALL_PROSTAD,1,MDT_occured,208
ALL_PROSTAD,1,biopsy_done,108
ALL_PROSTAD,1,Path_report_recieved,104
ALL_PROSTAD,1,Path_report_outcome,104
ALL_PROSTAD,1,Treatment_options_MDT_occured,84
ALL_PROSTAD,1,Outpatient_appointment_occured,82
ALL_BASELINE,2,referral_received,445
ALL_BASELINE,2,mri_performed,425
ALL_BASELINE,2,mri_report_ready,412
ALL_BASELINE,2,MDT_occured,406
ALL_BASELINE,2,biopsy_done,219
ALL_BASELINE,2,Path_report_recieved,216
ALL_BASELINE,2,Path_report_outcome,216
ALL_BASELINE,2,Treatment_options_MDT_occured,168
ALL_BASELINE,2,Outpatient_appointment_occured,160
OBS_MIX,2,referral_received,445
OBS_MIX,2,mri_performed,412
OBS_MIX,2,mri_report_ready,407
OBS_MIX,2,MDT_occured,405
OBS_MIX,2,biopsy_done,223
OBS_MIX,2,Path_report_recieved,218
OBS_MIX,2,Path_report_outcome,218
OBS_MIX,2,Treatment_options_MDT_occured,172
OBS_MIX,2,Outpatient_appointment_occured,164
ALL_PROSTAD,2,referral_received,445
ALL_PROSTAD,2,mri_performed,206
ALL_PROSTAD,2,mri_report_ready,206
ALL_PROSTAD,2,MDT_occured,206
ALL_PROSTAD,2,biopsy_done,118
ALL_PROSTAD,2,Path_report_recieved,118
ALL_PROSTAD,2,Path_report_outcome,118
ALL_PROSTAD,2,Treatment_options_MDT_occured,100
ALL_PROSTAD,2,Outpatient_appointment_occured,100
ALL_BASELINE,3,referral_received,439
ALL_BASELINE,3,mri_performed,413
ALL_BASELINE,3,mri_report_ready,409
ALL_BASELINE,3,MDT_occured,403
ALL_BASELINE,3,biopsy_done,240
ALL_BASELINE,3,Path_report_recieved,231
ALL_BASELINE,3,Path_report_outcome,231
ALL_BASELINE,3,Treatment_options_MDT_occured,179
ALL_BASELINE,3,Outpatient_appointment_occured,170
OBS_MIX,3,referral_received,439
OBS_MIX,3,mri_performed,398
OBS_MIX,3,mri_report_ready,395
OBS_MIX,3,MDT_occured,391
OBS_MIX,3,biopsy_done,228
OBS_MIX,3,Path_report_recieved,222
OBS_MIX,3,Path_report_outcome,222
OBS_MIX,3,Treatment_options_MDT_occured,175
OBS_MIX,3,Outpatient_appointment_occured,166
ALL_PROSTAD,3,referral_received,439
ALL_PROSTAD,3,mri_performed,206
ALL_PROSTAD,3,mri_report_ready,206
ALL_PROSTAD,3,MDT_occured,206
ALL_PROSTAD,3,biopsy_done,120
ALL_PROSTAD,3,Path_report_recieved,116
ALL_PROSTAD,3,Path_report_outcome,116
ALL_PROSTAD,3,Treatment_options_MDT_occured,93
ALL_PROSTAD,3,Outpatient_appointment_occured,88
ALL_BASELINE,4,referral_received,484
ALL_BASELINE,4,mri_performed,454
ALL_BASELINE,4,mri_report_ready,449
ALL_BASELINE,4,MDT_occured,442
ALL_BASELINE,4,biopsy_done,264
ALL_BASELINE,4,Path_report_recieved,258
ALL_BASELINE,4,Path_report_outcome,258
ALL_BASELINE,4,Treatment_options_MDT_occured,212
ALL_BASELINE,4,Outpatient_appointment_occured,209
OBS_MIX,4,referral_received,484
OBS_MIX,4,mri_performed,438
OBS_MIX,4,mri_report_ready,433
OBS_MIX,4,MDT_occured,429
OBS_MIX,4,biopsy_done,255
OBS_MIX,4,Path_report_recieved,247
OBS_MIX,4,Path_report_outcome,247
OBS_MIX,4,Treatment_options_MDT_occured,200
OBS_MIX,4,Outpatient_appointment_occured,196
ALL_PROSTAD,4,referral_received,484
ALL_PROSTAD,4,mri_performed,208
ALL_PROSTAD,4,mri_report_ready,208
ALL_PROSTAD,4,MDT_occured,208
ALL_PROSTAD,4,biopsy_done,123
ALL_PROSTAD,4,Path_report_recieved,119
ALL_PROSTAD,4,Path_report_outcome,119
ALL_PROSTAD,4,Treatment_options_MDT_occured,97
ALL_PROSTAD,4,Outpatient_appointment_occured,96
ALL_BASELINE,5,referral_received,408
ALL_BASELINE,5,mri_performed,380
ALL_BASELINE,5,mri_report_ready,371
ALL_BASELINE,5,MDT_occured,366
ALL_BASELINE,5,biopsy_done,209
ALL_BASELINE,5,Path_report_recieved,205
ALL_BASELINE,5,Path_report_outcome,205
ALL_BASELINE,5,Treatment_options_MDT_occured,155
ALL_BASELINE,5,Outpatient_appointment_occured,147
OBS_MIX,5,referral_received,408
OBS_MIX,5,mri_performed,379
OBS_MIX,5,mri_report_ready,375
OBS_MIX,5,MDT_occured,372
OBS_MIX,5,biopsy_done,216
OBS_MIX,5,Path_report_recieved,211
OBS_MIX,5,Path_report_outcome,211
OBS_MIX,5,Treatment_options_MDT_occured,161
OBS_MIX,5,Outpatient_appointment_occured,155
ALL_PROSTAD,5,referral_received,408
ALL_PROSTAD,5,mri_performed,207
ALL_PROSTAD,5,mri_report_ready,207
ALL_PROSTAD,5,MDT_occured,207
ALL_PROSTAD,5,biopsy_done,114
ALL_PROSTAD,5,Path_report_recieved,111
ALL_PROSTAD,5,Path_report_outcome,111
ALL_PROSTAD,5,Treatment_options_MDT_occured,85
ALL_PROSTAD,5,Outpatient_appointment_occured,83
ALL_BASELINE,6,referral_received,475
ALL_BASELINE,6,mri_performed,451
ALL_BASELINE,6,mri_report_ready,440
ALL_BASELINE,6,MDT_occured,433
ALL_BASELINE,6,biopsy_done,222
ALL_BASELINE,6,Path_report_recieved,219
ALL_BASELINE,6,Path_report_outcome,219
